dataset;date;values
62293;01.07.2023;0.462942009337296
62293;01.08.2023;0.60811180087446
62293;01.09.2023;0.243075136357314
62293;01.10.2023;0.425871867856003
62293;01.11.2023;0.848449821584231
62293;01.12.2023;0.460260068853364
62293;01.01.2024;0.906250853613036
62293;01.02.2024;0.862085588528884
62293;01.03.2024;0.943880220956826
62293;01.04.2024;1.42821001374225
62293;01.05.2024;1.31947781230474
62293;01.06.2024;1.27893975748722
