,date,Оборот розничной торговли,Индекс потребительских цен,Заработная плата,Занятость населения,Импорт,Индикатор бизнес климата,Обьем депозитов,"Новостной идекс ЦБ, Россия"
142,2015-12-01,87.8,115.0,89.6,781,16434,-6.25354106717629,21192.8,-0.889527245
143,2016-01-01,85.9,112.9,91.6,848,17505,-5.77513059184923,21491.2,-1.022556978
144,2016-02-01,93.8,109.8,96.4,855,9844,-8.49107595880284,23219.1,-1.672402188
145,2016-03-01,96.3,108.1,100.6,899,12861,6.79879422743664,22801.5,-1.54512814199999
146,2016-04-01,94.9,107.3,101.5,893,15352,7.5143130509428,22970.5,-1.12873918
147,2016-05-01,95.7,107.3,98.9,874,15113,3.83673218346399,22518.9,-0.730799465999999
148,2016-06-01,94.7,107.3,101.0,830,14437,4.5076363062453,22673.8,-0.558014066
149,2016-07-01,95.0,107.5,101.1,799,15982,6.21997617674882,22924.7,-0.108641535
150,2016-08-01,94.0,107.2,98.7,778,16144,7.89190726620328,23062.7,-0.033417964
151,2016-09-01,96.5,106.9,102.7,744,18449,8.12163641400352,23453.2,-0.387667794
152,2016-10-01,96.4,106.4,101.9,700,17959,5.79195349569608,23375.1,-0.525729409
153,2016-11-01,95.3,106.1,100.4,681,18180,3.73532519723008,23318.3,-0.215534104
154,2016-12-01,95.3,105.8,102.1,703,17615,-1.21745032449672,23374.1,0.0826448479999999
155,2017-01-01,94.4,105.4,102.8,756,19557,2.00944150674573,23674.3,0.392892794
156,2017-02-01,98.0,105.0,101.0,753,13618,-1.97530809595074,24200.3,0.510760847
157,2017-03-01,97.2,104.6,100.8,772,15476,5.12346963628431,24015.2,0.729786434
158,2017-04-01,100.0,104.3,103.1,764,19003,10.7040736825985,24075.6,0.913982265
159,2017-05-01,100.3,104.1,103.8,724,18264,2.94772533958721,23967.6,0.87315744
160,2017-06-01,101.1,104.1,102.7,694,19636,7.27583410742997,24273.4,0.822313455
161,2017-07-01,101.4,104.4,103.8,673,20820,7.49324002130319,24276.5,0.526740932
162,2017-08-01,102.6,103.9,103.0,656,20842,8.58765661804514,24897.1,0.346706145
163,2017-09-01,100.4,103.3,102.3,631,22447,9.21557961100595,24861.3,0.315803251
164,2017-10-01,103.1,103.0,104.3,590,20558,6.20437035151883,24798.4,0.79526395
165,2017-11-01,103.4,102.7,105.4,575,21526,5.83134333480353,24762.0,0.753071039
166,2017-12-01,103.1,102.5,105.8,609,22012,0.0459929156443195,24759.7,0.542624318
167,2018-01-01,103.3,102.5,106.2,660,24182,2.86673798162221,24996.9,0.699308447
168,2018-02-01,103.0,102.2,111.0,655,16726,-1.05497724500148,25987.4,1.137026072
169,2018-03-01,102.1,102.2,110.5,670,19130,7.45207654436607,25471.7,0.685640166
170,2018-04-01,103.0,102.4,108.7,661,21659,11.4813004892192,25765.5,0.481237868
171,2018-05-01,103.2,102.4,107.6,624,20991,7.2264173130246,26055.2,0.457759002
172,2018-06-01,102.9,102.4,107.6,593,21354,7.66114376336276,26743.7,0.479416165
173,2018-07-01,103.4,102.3,107.2,574,21061,6.48461505630323,26703.2,0.201523826
174,2018-08-01,102.8,102.5,107.5,563,21244,8.04015924150889,26991.7,0.230494984
175,2018-09-01,103.0,103.1,106.8,555,21671,7.53365182438299,27065.1,-0.247558385
176,2018-10-01,102.3,103.4,104.9,525,19809,2.64276355433671,27369.4,-0.109315008
177,2018-11-01,102.2,103.5,105.2,515,21500,5.7572860677181,26934.4,-0.298918076
178,2018-12-01,103.3,103.8,104.2,550,21282,-2.43033510171966,27074.3,-0.014599497
179,2019-01-01,102.7,104.3,102.9,592,22429,1.80448769082497,27156.1,-0.177300789
180,2019-02-01,102.2,105.0,101.1,627,16369,-1.68240564912324,28459.5,-0.39038259
181,2019-03-01,102.3,105.2,100.0,691,18182,6.5205032626022,27742.3,-0.016582936
182,2019-04-01,102.4,105.3,102.3,717,20906,10.0599350240989,28164.5,0.154189998
183,2019-05-01,102.0,105.2,103.1,677,22020,7.1767369483203,28210.4,0.137494056
184,2019-06-01,101.9,105.1,101.6,626,19856,6.1669895890239,28803.2,0.185526979
185,2019-07-01,101.8,104.7,102.9,597,19974,6.86919828650613,28796.4,-0.112383873
186,2019-08-01,101.5,104.6,103.0,577,22312,9.26199053821114,28970.7,-0.266600472
187,2019-09-01,101.1,104.3,102.4,562,21926,6.99664838406849,29035.1,-0.425530127
188,2019-10-01,100.9,104.0,103.1,521,20932,4.05982079189923,29430.2,0.303820559
189,2019-11-01,101.9,103.8,103.8,504,23837,3.80080416463292,29300.1,0.113629596
190,2019-12-01,102.6,103.5,102.7,528,23217,-2.55090776874886,29308.0,0.234380499
191,2020-01-01,101.8,103.0,106.9,558,24345,1.84966575180849,29494.9,0.314847379
192,2020-02-01,102.8,102.4,106.5,553,17082,-2.00234320578494,30411.9,-0.005065133
193,2020-03-01,104.9,102.3,105.7,574,18450,3.90366680104958,30009.3,-0.013883929
194,2020-04-01,106.9,102.5,105.9,580,20486,-11.7029804207936,30619.4,-1.40009461
195,2020-05-01,78.0,103.1,98.0,1145,17552,-17.6806116100938,31215.0,-2.159193958
196,2020-06-01,82.5,103.0,101.0,1910,17222,-6.585690040315,31184.9,-2.593329415
197,2020-07-01,93.9,103.2,100.6,2559,19141,3.81396983671573,30848.3,-2.404199366
198,2020-08-01,99.5,103.4,102.9,2993,19746,5.9931576465824,31301.6,-1.802763871
199,2020-09-01,99.3,103.6,100.1,3402,19958,3.72055287380491,31644.4,-1.53896427699999
200,2020-10-01,98.8,103.7,102.2,3259,20526,1.22256157856813,31658.4,-0.94392439
201,2020-11-01,99.6,104.0,100.5,1713,21911,-1.11870060710297,32030.2,-0.89227994
202,2020-12-01,97.6,104.4,100.2,1428,22770,-7.29420377067919,31724.9,-0.306239578
203,2021-01-01,97.8,104.9,104.6,1293,25244,0.409642932951698,31466.7,-0.037475351
204,2021-02-01,101.1,105.2,100.1,1139,17326,-3.10778430341978,32834.2,0.415527554
205,2021-03-01,99.3,105.7,102.0,1034,20639,8.30367057929035,32170.7,0.805707533
206,2021-04-01,97.5,105.8,101.8,914,24920,13.2280813418034,32122.8,0.722062184
207,2021-05-01,136.3,105.5,107.8,863,25629,8.43123940284343,32138.3,0.922148861
208,2021-06-01,128.0,106.0,103.3,794,24524,8.9851315914581,32942.5,0.816343415999999
209,2021-07-01,111.5,106.5,104.9,736,25323,9.21024776014571,32388.4,1.392189327
210,2021-08-01,105.7,106.5,102.2,701,26076,10.0241767591589,32378.2,1.243501705
211,2021-09-01,105.8,106.7,101.5,680,26029,8.84564462306514,32598.1,1.04371663182114
212,2021-10-01,106.2,107.4,102.0,610,25516,6.42752600891731,32674.8,0.9220681334709
213,2021-11-01,104.6,108.1,100.6,572,26694,4.08060263674301,32870.6,0.318006472314193
214,2021-12-01,103.6,108.4,103.4,544,27553,-0.36320089688391,32851.5,0.0616358764406062
215,2022-01-01,105.6,108.4,103.6,568,30817,2.74669353359261,33216.3,0.223207091489282
216,2022-02-01,104.5,108.7,101.9,494,24087,2.54518462759674,34694.8,-0.10673817676224
217,2022-03-01,107.0,109.2,102.6,466,27076,-2.08094139077105,34204.7,-0.144439509633056
218,2022-04-01,103.0,116.7,103.6,459,18598,2.43731851482053,33465.2,-0.265622152419797
219,2022-05-01,90.4,117.8,92.8,480,16700,0.797435609794832,33267.5,-0.364826854282305
220,2022-06-01,90.3,117.1,93.9,494,18861,1.4326011554156,33593.6,-0.702043961537595
221,2022-07-01,90.6,115.9,96.8,490,21181,7.18271719483189,33263.6,-0.834286199496258
222,2022-08-01,90.9,115.1,96.8,489,21658,9.04828642315994,32935.9,-0.505984661885646
223,2022-09-01,90.6,114.3,98.8,484,23504,9.78973338359333,33812.0,-0.3144209437976
224,2022-10-01,89.1,113.7,98.6,440,23661,3.24639958365819,33779.2,-0.391226943937146
225,2022-11-01,89.8,112.6,100.4,411,25179,2.02383963945803,33141.7,-0.794078236658376
226,2022-12-01,92.1,112.0,100.3,399,26272,-0.930250158407517,33278.9,-0.817975576643949
227,2023-01-01,89.6,111.9,100.6,413,29734,1.78053680586709,33563.6,-0.480049268448537
228,2023-02-01,94.0,111.8,100.6,402,24089,1.90232997671532,36619.2,-0.273628107742536
229,2023-03-01,92.9,111.0,102.0,403,22520,10.6674980485116,35582.1,0.0840832581336721
230,2023-04-01,96.4,103.5,102.7,402,27967,14.2534103534567,36601.1,0.0011422213384214
231,2023-05-01,109.2,102.3,110.4,380,24776,9.40569841139117,36955.8,0.496998797214917
232,2023-06-01,111.3,102.5,113.3,380,26914,12.9579228407954,37722.2,0.641249873820179
233,2023-07-01,112.9,103.3,110.5,369,25424,12.629544688653,38173.0,0.462942009337296
234,2023-08-01,113.7,104.3,109.2,361,25463,11.5255368383705,39276.8,0.60811180087446
235,2023-09-01,114.4,105.2,109.5,353,25426,12.2684485136038,39894.7,0.243075136357314
236,2023-10-01,113.8,106.0,107.2,326,24820,8.08575894542633,40414.8,0.425871867856003
237,2023-11-01,113.8,106.7,109.9,304,23398,5.78869847772756,40879.0,0.848449821584231
238,2023-12-01,110.6,107.5,107.2,313,24274,0.775447531728219,41297.7,0.460260068853364
239,2024-01-01,110.7,107.4,108.5,320,27795,3.00476952740161,41977.5,0.906250853613036
240,2024-02-01,108.5,107.4,108.5,306,21370,1.98929409421612,44920.9,0.862085588528884
241,2024-03-01,111.7,107.7,110.8,310,23050,14.5622864056741,44867.1,0.943880220956826
242,2024-04-01,111.1,107.7,112.9,309,22719,16.5083544151939,46110.7,1.42821001374225
243,2024-05-01,108.3,107.8,108.5,286,22689,12.5450026761627,47024.3,1.31947781230474
